context	target	label	pred
Die [ORG] bekennt sich zu dem Prinzip der Nachhaltigkeit. Die in der Geschäftsstrategie festgelegten Handlungsfelder und übergeordneten Zielfelder werden jährlich von den Fachbereichen überprüft und ggf. angepasst. Nachdem die Strategie durch den Risikoausschuss und den Verwaltungsrat erörtert wurde, wird diese den Mitarbeiter/innen zur Verfügung gestellt.	Durch die Veröffentlichung in der internen Informationsdatenbank ist sichergestellt, dass alle Mitarbeiterinnen und Mitarbeiter über die relevanten Informationen verfügen.	1.0	6.189164713501713e-14
Sie wird von einer Mitarbeiterin aus Corporate Organization und zusätzlich durch die Bereiche, Vertrieb, Marketing und Assetmanagement unterstützt. Das Nachhaltigkeitsteam berät die Geschäftsführung zu Nachhaltigkeit, unterstützt die Bereiche bei der Umsetzung von Nachhaltigkeitsmaßnahmen und ist deren Partner bei Nachhaltigkeitsfragen. Das Nachhaltigkeitsteam gestaltet die Entsprechenserklärung gemäß Deutschen Nachhaltigkeitskodex und organisiert die Datenbereitstellung.	Allgemeine Anfragen zu Nachhaltigkeit werden ebenfalls durch das Nachhaltigkeitsteam bearbeitet sowie externe Entwicklungen zu Nachhaltigkeitsstandards und –themen beobachtet.	0.3333333333	2.6517032927081408e-12
Im gesamten Unternehmen werden Prozesse wo immer möglich digitalisiert. Alle Standorte der [ORG] verfügen über zertifizierte Qualitäts- (ISO 9001), Umwelt- (ISO 14001) und Energiemanagementsysteme (ISO 50001). Im Rahmen regelmäßiger Audits wurden und werden Verbesserungspotentiale in den Unternehmensabläufen aufgedeckt und diese entsprechend angepasst.	Darüberhinaus ist Nachhaltigkeit neben Service, Innovation und Kompetenz der vierte Bestandteil des Unternehmensleitbilds der [ORG].	0.6666666667	4.6171610100769617e-14
Im Verlaufe der Jahre 2016 und 2017 hat sich herausgestellt, dass sich die für das Berichtsjahr 2015 angestrebte Datenerhebung, in den einzelnen Arbeitsbereichen nur in einem unbefriedigenden Umfang realisieren ließ. Zum Einen waren die Erfassungsprofile nicht spezifisch genug, zum Anderen dier Erhebungsumfang (Menge der Daten) zu gering, um daraus sinnvolle Entwicklungen bzw. Anforderungsprofile ableiten zu können. Mit der Neuausrichtung auf die Schwerpunkte Kulinarik und Kreislaufwirtschaft setzt das Unternehmen nun auf eine gezielte und umfassende Erhebung der Rohstoffe und Materialien im Bereich Gesundheit und Ernährung.	Das Ziel für die kommenden zwei Jahre ist die Ableitung konkreter und detaillierter Maßnahmen zur Optimierung nachhaltiger Prozessabläufe.	1.0	1.2656927372498017e-13
Um unsere Entwicklung im Bereich Nachhaltigkeit zu messen, greifen wir auf das darin implementierte Set an [ORG]-Leistungsindikatoren zurück. Durch dieses Vorgehen ist gewährleistet, dass die für uns relevanten Daten zuverlässig, konsistent und über einen längeren Zeitraum vergleichbar sind. Außerdem lassen sich mit diesen Zahlen wesentliche Fortschritte darlegen.	Die Gesamthausstrategie hat grundsätzlich langfristigen Charakter, wird aber jährlich oder anlassbezogen überprüft.	1.0	1.4238004492853756e-13
Die Mitglieder des Vorstandes der [ORG] erhalten eine Vergütung, die sich aus einem Grundbetrag und einer allgemeinen Zulage zusammensetzt. Darüber hinaus erhalten die Vorstandsmitglieder eine freiwillige individuelle Leistungszulage nach Ablauf eines Geschäftsjahres. Über die Auszahlung der freiwilligen individuellen Leistungszulage und deren Höhe entscheidet der Hauptausschuss auf Basis der Erreichung der Unternehmensziele in jedem Jahr neu.	Den Vorständen steht ein Dienstwagen zur Verfügung, der auch privat genutzt werden darf.	0.6666666667	6.782331315492718e-13
Im Rahmen des Aufbaus einer Nachhaltigkeitsstrategie ist die Einbindung von Nachhaltigkeitszielen in das Vergütungssystem denkbar. Für die Geschäftsführung ist die Zielgröße „Mitarbeiterzufriedenheit“ ein Bestandteil der variablen Vergütung. Die Vergütung der Vorstandsmitglieder orientiert sich an den Grundlagen der Empfehlungen der nordrhein-westfälischen [ORG]- und Giroverbände und wird jährlich im Anhang des Jahresabschlusses der [ORG] veröffentlicht.	Der Verwaltungsrat überprüft jährlich die Angemessenheit der Vergütungssysteme der Vorstände und wird über die Ausgestaltung der Vergütungssysteme der Mitarbeiterinnen und Mitarbeiter entsprechend der Institutsvergütungsverordnung informiert.	0.6666666667	4.2299764900629797e-14
In Fällen von besonderer Bedeutung – so z.B. im Dialog mit Vertretern der Gesetzgeber – wird die Geschäftsführung der [ORG] zusätzlich eingebunden. Bei bestimmten Vorhaben findet der direkte Austausch auch in Interessenverbänden statt. Dies betraf im Berichtszeitraum z.B. mit der Standortkampagne „Industrie - Zukunft in Lippe“, das Interesse für den Ausbildungsberuf des Verfahrensmechanikers an jungen Leuten zu wecken.	Darüber hinaus bewertet die Geschäftsführung einmal im Jahr aus den oben genannten Stakeholder-Dialogen die für uns wichtigsten Themen in der Managementbewertung.	0.0	1.5459127847197024e-13
Im Rahmen unseres jährlichen Strategieprozesses werden unsere relevanten Anspruchsgruppen regelmäßig überprüft und festgelegt. Die [ORG] ist ebenso wie viele ihrer Mitarbeiterinnen und Mitarbeiter in der Region des Kreises Herford und anliegender Kreise verwurzelt. Als kommunal verankertes Kreditinstitut führen wir im Rahmen unserer Geschäftstätigkeit und unseres gesellschaftlichen Engagements einen kontinuierlichen Austausch mit Kundinnen und Kunden, der regionalen Wirtschaft, den Trägern, gemeinnützigen Organisationen und Institutionen sowie mit den Bürgerinnen und Bürgern in der Region.	Bei unserer Förderinitiative MeineStimme können unsere Kunden bei der Vergabe von Fördergeldern für gemeinnützige und soziale Projekte mitbestimmen.	0.8333333333	1.4536648794416518e-12
Auch beim Design der Porzellanprodukte wird auf Langlebigkeit geachtet. Ziel ist es hierbei nicht nur schnelllebige Trends zu bedienen, sondern durch geschickte Kombinationen und Ergänzungen über viele Jahre Aktualität zu behalten. Bei der Neuentwicklung von Geschirren, Formen und Dekoren wird grundsätzlich auf Ressourcenschonung und Nachhaltigkeit geachtet.	 Durch den fest integrierten KVP-Prozess erfolgen auch an bestehenden Produkten Optimierungen.	0.5	6.876627088939213e-13
Ebenfalls ist die Auswahl an möglichen Lieferanten vergleichsweise gering. Indirekt wird über das Qualitätsmanagement in Zusammenarbeit mit den Mitarbeitern auf eine möglichst fehlerfreie Dienstleistungserbringung hingewirkt, was Wiederholungsmessungen und andere Doppelarbeit und unnötigen Chemikalieneinsatz und den Verbrauch weiterer Ressourcen vermeidet. Unabhängig davon forscht [ORG] fortlaufend an neuen Methoden und Dienstleistungen, die ein höheres Maß an Genauigkeit, einen geringeren Ressourcenverbrauch, einen geringeren Einsatz von Chemikalien oder auch den Nachweis bisher nicht nachweisbarer Stoffe bedeuten können.	Hierfür sind spezielle Funktionen im Unternehmen zuständig und Prozesse etabliert, soweit sich die Entwicklung nicht aus dem Routinegeschäft generiert.	0.6666666667	1.3492671064631312e-13
Die energetische Sanierung und Modernisierung von Immobilien ist für [ORG] ein Schlüssel- und zentrales Zukunftsthema. Bereits heute fließt ein Großteil der Auszahlungen in den Modernisierungsbereich, insbesondere auch in energetische Sanierungen. [ORG] unterstützt seine Kunden bei dem komplexen Thema energetische Sanierung unter Einsatz eines breiten Angebots an Informationen, Finanzierungsprodukten und Beratungsangeboten:	Nachhaltig orientierte Produkte existieren auch in verschiedenen Bereichen der Versicherungen.	1.0	1.2763195014753315e-11
Alle vier Jahre wird zusätzlich ein Energieaudit erstellt über das ebenfalls Handlungsbedarfe abgeleitet werden. Insbesondere bei der Beleuchtung der betrieblich genutzten Flächen achtet die [ORG] auf Energieeffizienz – dies auch, um strategiekonform Sachkosten einzusparen. Zudem werden PCs nach der Abmeldung vom Server nach einer gewissen Zeit automatisch ausgeschaltet, um den Stromverbrauch weiter zu senken.	Die Standardeinstellung aller Drucker der [ORG] sieht beispielsweise einen "beidseitigen Druck" vor, um den Papierverbrauch weiter zu minimieren.	0.6666666667	1.7002870465743225e-13
Zusätzlich helfen Telefon- und Videokonferenzen schon heute, mobilitätsbedingte CO2-Emissionen zu verringern. Für trotzdem erforderliche Dienstreisen werden hauptsächlich öffentliche Verkehrsmittel genutzt. Im Fuhrpark der [ORG] ersetzt darüber hinaus seit 2015 ein Elektro-Fahrzeug (BMW i3) ein Benzinfahrzeug.	Eine höhere Energie-, Öko- und Kosteneffizienz erzielt die [ORG] auch durch den Einsatz „grüner“ Informationstechnologie (Green IT).	0.6666666667	3.2608139279022286e-14
Es ist uns bewusst, dass unsere Tätigkeiten die Umwelt beeinträchtigen. Dementsprechend ist es unsere Pflicht, diese Beeinträchtigungen im Rahmen der wirtschaftlichen und technischen Möglichkeiten auf ein Minimum zu reduzieren. Dies beinhaltet auch den schonenden Umgang mit den vorhandenen Energieressourcen.	Durch eine ständige Verbesserung der Energieeffizienz leisten wir einen entscheidenden Beitrag zur Reduzierung von Umweltbelastungen.	0.6666666667	2.5771225431459044e-13
Im Unternehmen wurde daraufhin begonnen, sukzessive noch mehr und neuere Energiesparlampen einzusetzen. Auch die Mitarbeiter werden durch interne Kommunikationsmaßnahmen wie zum Beispiel ein Video zum durchgeführten Energieaudit oder die regelmäßige Kommunikation zu ökologischem Verhalten am Arbeitsplatz über das Intranet aufgeklärt und können so am unternehmensweiten Ressourcenmanagement teilhaben. Zudem förderte die [ORG] im Berichtsjahr 2017 359 Mitarbeiter, die mit den öffentlichen Verkehrsmitteln zur Arbeit kommen, mit dem „Jobticket“.	Die [ORG] hat festgestellt, dass die Mobilitätskennziffer ihrer Mitarbeiter immer weiter steigt.	1.0	1.579410864246955e-12
Dieses Ziel untermauern wir bisher mit folgenden qualitativen Maßnahmen:Reise- und Verkehrsaufkommen, Mobilitätszuschuss:Wir optimieren gezielt das von uns beeinflusste und beeinflussbare Reise- und Verkehrsaufkommen aus ökonomischen und ökologischen Gesichtspunkten. Dem dienen insbesondere folgende Regelungen:Papierverbrauch:Das Vorgängerinstitut [ORG] Baden-Württemberg war in der Vergangenheit bestrebt, ihren Papierverbrauch durch verschiedene Maßnahmen zu senken wie z. B. die regelmäßige Sensibilisierung ihrer Mitarbeiter zur Reduzierung von Ausdrucken oder die Optimierung von Werbedrucken. Auswirkungen wurden über die Erfassung des Papierverbrauchs sichtbar.	Bei der [ORG] Rheinland-Pfalz gab es keine Erfassung der eingesetzten Papiermengen.	0.3333333333	6.900654770910022e-14
Neubauten statten wir mit Solarthermie aus. In weiteren Objekten haben wir Blockheizkraftwerke installiert. Die CO2 -Emissionen für das Jahr 2017 wurden separat ermittelt.	Beim Vergleich der Jahre 2017 zu 2015 ergibt sich bereits eine spürbare Reduzierung.	0.3333333333	7.988914570026054e-14
Die Klimaschutzziele und Anpassungserfordernisse werden im Rahmen der Wartung, Inspektion, Instandsetzung, Sanierung und Modernisierung in der Immobilienbewirtschaftung berücksichtigt. Weiterhin ist es unser Ziel, unseren Anteil an der Erzeugung und Nutzung erneuerbarer Energien unter der Berücksichtigung der Einspar- und Effizienzpotenziale kontinuierlich auszubauen. Ausbau erneuerbarer EnergienDer	Energieeinkauf für die Wohnungsbestände lag zum Jahresende 2017 bei knapp 99 % Ökostrom aus mehreren regenerativen Quellen von circa 40 lokalen Energieanbietern.	1.0	8.263780827168221e-13
Das [ORG] sparts omit über 100.000 t klimaschädliches Kohlendioxid pro Jahr ein. Das [ORG] unterliegt aufgrund der installierten Feuerungswärmeleistung sowohl beim Grundlastwerk– nur dem Kohleteil – als auch beim Spitzenheizwerk Nord dem Emissionshandel. Für 2017 wurden insgesamt 100.176 CO2-Berechtigungen an die Deutsche Emissionshandelsstelle beim Umweltbundesamt (DEHSt) zurückgegeben.	Die tatsächlich für 2017 in der 3. Handelsperiode 2014 – 2020 zugeteilte Jahresmenge von 21.026 CO2-Zertifikaten lag deutlich darunter, so dass Netto 79.150 t CO2 im Abzug gebracht werden mussten.	1.0	2.8549059817584155e-13
Wir bieten unseren Mitarbeitern die Möglichkeit, sich ständig aus- und fortzubilden. Außerdem liegt uns der rege Austausch mit unseren Mitarbeitern sehr am Herzen. Deshalb geben wir ihnen die Möglichkeit Verbesserungsvorschläge zu allen Bereichen einzureichen oder in Feedback-Gesprächen ihre Wünsche oder Anregungen offen zu legen.	Uns ist sehr wichtig, dass unsere Mitarbeiter weitestgehend in die Entwicklung der Bank einbezogen werden.	0.3333333333	2.4822122981181527e-13
Im Rahmen des betrieblichen Vorschlagwesens können die Mitarbeiterinnen und Mitarbeiter Verbesserungsvorschläge einreichen und so zu einer Qualitäts- und Effizienzsteigerung innerhalb der [ORG] beitragen. Beim großen Arbeitgeberranking des Wirtschaftsmagazins [ORG] wurde die [ORG] im Jahr 2017 bereits zum vierten Mal als TOP nationaler Arbeitgeber ausgezeichnet und belegte den 18. Platz unter 78 ausgezeichneten Banken und Finanzdienstleistern. Unter den [ORG] in Baden-Württemberg erzielten wir den Spitzenplatz.	Diese Auszeichnung bestätigt unsere Arbeitgeberattraktivität und die erfolgreiche Personalstrategie.	1.0	1.3946840644180059e-12
Die [ORG] verfügt über einen Aufsichtsrat, dem drei Mitarbeitervertreter*innen angehören. Im Betriebsrat sind acht Mitarbeiter*innen sowie eine freigestellte Betriebsratsvorsitzende für die vielfältigen Belange ihrer Kolleginnen und Kollegen im Einsatz. Die Unternehmenskultur ist geprägt durch eine starke Bereitschaft der Mitarbeiter*innen, eigenverantwortlich Zusatztätigkeiten etwa als Ausbildungsbeauftragte*r, BEM-Beauftragte*r Brandschutzbeauftragte*r, Ersthelfer*in, Frauenvertreterin, Schwerbehindertenvertreter*in oder Mitglied im Steuerungsteam Mitarbeiterbefragung etc. zu übernehmen.	Die Beteiligung der Mitarbeiterinnen und Mitarbeiter an den Nachhaltigkeitszielen wird durch den Einbezug der Multiplikatoren in die AG Nachhaltigkeit gefördert.	0.6666666667	3.0460071856301674e-13
Wir haben bei der Einführung des Gleichstellungsgesetzes alle Beschäftigten über den Inhalt informiert und die Führungskräfte in einer gesonderten Veranstaltung geschult. Der Gesetzestext ist in unserer Mitarbeitermappe hinterlegt und somit allen zugänglich. Die [ORG] ist tarifgebunden.	Aus diesem Grund finden auf die Arbeitsverhältnisse der [ORG] beschäftigten die Tarifverträge für den öffentlichen Dienst (TVöD) und dessen Besonderer Teil [ORG] (TVöD-S) Anwendung.	0.8333333333	5.071800184691666e-14
Unser Unternehmen ist tarifgebunden (Chemische Industrie des Saarlandes). Die Höhe der Vergütung ist im Tarifvertrag über Entgeltsätze für die chemische Industrie des Saarlandes geregelt. Für jeden Arbeitsplatz wurden Funktionsprofile erstellt, nach denen jeder Mitarbeiter unabhängig von seinem Geschlecht, seines Alters, seiner Herkunft, seiner Hautfarbe, seiner Religion und seiner politischen Einstellung bezahlt wird.	Die niedrigste Entgeltgruppe liegt deutlich über dem derzeit geltenden Mindestlohn.	0.8333333333	2.2139114272314714e-13
Die [ORG] bietet Mitarbeitern vielfältige Karriere- und Entwicklungsmöglichkeiten an. Externe Fort- und Weiterbildungen sowie Inhouse-Schulungen stehen allen Mitarbeitern zur Verfügung. Das Angebot umfasst die fachliche und persönliche Weiterbildung sowie Gesundheitsseminare.	Ebenso unterstützt die Bank ihre Mitarbeiter bei nebenberuflichen Weiterbildungen (Bankfachwirt- und Bankbetriebswirt sowie Bachelor- und Masterstudiengänge etc.).	0.6666666667	1.177934025277036e-13
Der Prozess zur Umsetzung eines einheitlichen Führungsverständnisses für unsere [ORG] wurde im Jahr 2017 fortgesetzt. Ferner wurden verstärkt Maßnahmen ergriffen, die unsere Mitarbeiterinnen und Mitarbeiter qualifizieren, den Herausforderungen der Digitalisierung zu begegnen. So sind in allen Organisationseinheiten „Digitale Lotsen“ installiert worden.	Es ist uns wichtig, die Schwerpunkte der Personalarbeit unseres Hauses strukturiert und zukunftsorientiert anzugehen und erforderliche Prioritäten zu setzen.	0.6666666667	2.2323692915916793e-13
Für die [ORG] sind die Achtung der Menschenrechte und die Verhinderung von Zwangs- und Kinderarbeit selbstverständliche Grundwerte. Als gemeinwohlorientiertes, öffentlich-rechtliches Kreditinstitut betreiben wir unsere Geschäfte vorrangig im Landkreis Reutlingen. Aufträge vergeben wir vornehmlich an ortsansässige kleine und mittlere Unternehmen in unserem Geschäftsgebiet sowie an Unternehmen der [ORG]-Finanzgruppe.	Diese Unternehmen unterliegen deutschem Recht und den Kontrollen der Behörden.	0.8333333333	1.584667184799382e-12
Im Sinne des CSR-Richtlinien-Umsetzungsgesetzes ist das Thema Menschenrechte nicht von wesentlicher Relevanz, da die [ORG] kein produzierendes Unternehmen ist. Somit hat die [ORG] kein Konzept und keine Risikoanalyse erstellt. Beim Einkauf zum Beispiel von Werbegeschenken bezieht die [ORG] zertifizierte und in Deutschland produzierte Produkte.	Sie tätigt überwiegend regionale, maximal nationale Einkäufe.	0.5	1.684871724560652e-13
Wir bekennen uns zur Achtung der Menschenrechte im Sinne der Allgemeinen Erklärung der Menschenrechte der Vereinten Nationen und treten für die Kernarbeitsnormen der Internationalen Arbeitsorganisation (ILO) ein: Aufgrund unseres regionalen Geschäftsmodells (vgl. Allgemeine Informationen) verfolgen wir aktuell kein darüber hinausgehendes Konzept zu Menschenrechten. Die Einhaltung von Menschenrechten ist somit aktuell nicht Teil unserer Risikoanalyse.	Etwaigen Verstößen gehen wir bei Bekanntwerden selbstverständlich unverzüglich nach.	0.0	5.447408474822113e-13
Durch ihre Geschäftstätigkeit trägt die [ORG] wesentlich zum Gemeinwesen in ihrem Geschäftsgebiet bei. Sie ist Arbeitgeber, Ausbildungsbetrieb, Steuerzahler und Auftraggeber. Kernaufgabe der [ORG] ist die Förderung des Wohlstandes, des Sparens und der Vorsorgebereitschaft ihrer privaten Kunden sowie des wirtschaftlichen Wohlergehens ihrer gewerblichen Kunden unter Berücksichtigung wirtschaftlicher Grundsätze.	Die Bürgerdividende bestehend aus PS-Zweckertrag, Spenden, Sponsoring und Ausschüttung betrug in 2017 2,6 Mio. Euro.	1.0	9.863361212850141e-13
[ORG] engagiert sich in den Bereichen Bildung, Kunst und Sport mit zahlreichen Partnerschaften und Sponsoring-Aktivitäten. Insgesamt wurde im Geschäftsjahr 2017 (01.07.2016 bis 30.06.2017) ein Betrag von 209.481,08 Euro für das gesellschaftliche Engagement ausgegeben. Der Erfolg der [ORG] basiert seit Jahren auf Berufseinsteigern mit einem hervorragenden Universitätsabschluss, insbesondere aus den Bereichen der Physik und Mathematik.	Daher ist es für [ORG] eine Selbstverständlichkeit, sich in den MINT-Fächern besonders zu engagieren und die Wissenschaft entsprechend durch Stipendien, einzelne sowie langfristige Sponsorings oder Kooperationen zu unterstützen.	1.0	1.182378088666891e-12
Zum Jahreswechsel 2017/2018 wurde darüber hinaus die DSGVO im Bereich des Datenschutzes in die Umsetzung genommen. Nicht zuletzt steht die Bank unter der Aufsicht der BaFin. Die nicht-Einhaltung von Gesetzen oder aufsichtsrechtlichen Anforderungen könnte zu Maßnahmen durch die BaFin führen, bspw. Ordnungs- oder Bußgelder, Vertriebsverbote o.ä..	Dies hätte dann direkt Auswirkungen auf die Vertriebsfähigkeit der Bank.	0.6666666667	1.0742449952586691e-13
Als Mitglied beim [ORG] bringt sich das Unternehmen aktiv ein und wirtschaftet nach dessen Richtlinien. Der [ORG] setzt höhere Standards in Bezug auf Ökologie und leitet in regelmäßigen Abständen Vorschläge an den Gesetzgeber weiter. Die [ORG] engagiert sich dafür, eine Änderung in der europäischen Saatgut-Verordnung zu erwirken, um die Erzeugung von Saatgut in Europa/Deutschland auch für kleinere Erzeuger, die nicht die aktuelle Maschinerie besitzen, zu vereinfachen (z.B. unschädliche Verunreinigung, also Bruch der Sojabohnen: der aktuelle Wert liegt bei 0,3% und soll erhöht werden).	[ORG] befindet sich hier im Dialog mit dem Bund der deutschen Pflanzenzüchter und dem Bundessortenamt.	0.3333333333	6.776224953332008e-14
Telefonisch oder per E-Mail stehen die Compliance-Ansprechpartner zur Verfügung und helfen dabei, Geschäftsabläufe sicher zu gestalten. Die [ORG] greift als Tochterunternehmen auf diese etablierten Strukturen zurück. Verantwortlich bei der [ORG] ist die Geschäftsführung.	Die Compliance-Richtlinie ist in die Arbeitsverträge der [ORG] integriert.	1.0	1.6829670523941381e-13
[ORG] unterliegen als Finanzinstitute spezialgesetzlichen Regelungen zur Prävention und Be- kämpfung von kriminellen Handlungen wie Geldwäsche, Terrorismusfinanzierung und sonstigen strafbaren Handlungen. Daneben sind Embargovorschriften und Finanzsanktionen einzuhalten. Der Geldwäschebeauftragte stellt über Vorkehrungen und detaillierte Gegenmaßnahmen sicher, dass im Einklang mit den gesetzlichen Vorgaben gehandelt wird.	Eine regelmäßige Bestandsaufnahme und Bewertung der rechtlichen Regelungen und Vorgaben ermöglichen eine Identifizierung von möglichen Risiken, die aus Geldwäsche, Terrorismusfinanzierung oder sonstigen strafbaren Handlungen resultieren können.	0.6666666667	1.3998428338799634e-13
